"MEL_SNP"	"MED_SNP"	"NB_SNP"	"AML_SNP"	"LUSC_SNP"	"CLL_SNP"	"GBM_SNP"	"LUAD_SNP"	"CRC_SNP"	"ESO_SNP"	"OV_SNP"	"RHAB_SNP"	"KIRC_SNP"	"UCEC_SNP"	"DLBCL_SNP"	"BRCA_SNP"	"PRAD_SNP"	"MM_SNP"	"CARC_SNP"	"HNSC_SNP"	"BLCA_SNP"
"wgEncodeCshlLongRnaSeqHepg2CellPapJunctions"	-7.21561854984474e-33	0.205845671529099	0.40794049809977	9.55745182485283e-07	-2.16094099399228e-37	-0.846026715358237	-0.468661307264135	-1.04934405193671e-182	1.06100431719077e-08	-4.08257775716422e-18	1.94988657804425e-09	0.768026263549183	1.16120991304874e-54	3.10831692600435e-27	-2.31820411540698e-10	1.63165700012543e-17	0.0115873818197366	2.00625147019836e-09	0.462607243594857	0.0804754226882758	1.9861764460853e-100
"wgEncodeSydhTfbsGm12878Srebp2IggrabPk"	-0.0038359362778181	-1	-1	-0.940572483425982	0.630750091507583	-0.577776297401427	-1	-0.966689653680715	-0.000126417788065053	-0.630688571076259	0.525761731565377	-1	0.068763552842071	0.81417913557178	-1	0.389514345079503	-1	0.451459623689038	0.1833960955432	0.425431254611421	0.0160851415743267
"wgEncodeBroadHistoneCd20ro01794H3k27acPk"	-1.01784382136716e-296	0.951776692116538	-1	0.3318112162965	-5.46201339820863e-28	0.0333108034308127	-1.68826401117266e-17	-8.45508313831195e-146	5.07264913561586e-13	-8.56600629095974e-43	0.000396929417344692	-1	2.18479021627664e-104	5.03850801368323e-97	1.02610093518081e-07	1.68712162441047e-28	0.334479549790381	6.08933699057985e-21	0.790619501052756	0.0828090443843387	4.26161715210272e-125
"wgEncodeSydhTfbsH1hescCtbp2UcdPk"	-2.18679196919395e-47	-0.861972087726334	-1	-0.141482430443648	5.10080281620405e-06	0.00755156614543826	-0.941663098918994	0.00503613527942624	-3.1003216806335e-15	4.84414255585805e-32	-0.235692497831515	0.914132963923623	-0.959196028733744	-2.80527674273195e-30	1.03919293362004e-69	-0.00313318994650725	0.192448562408945	3.02059710903382e-12	0.827028870506278	1.17176976373506e-19	3.331519327062e-21
"wgEncodeHaibMethylRrbsHepatocytesDukeSitesRep2"	-1.42002729663075e-12	0.224038455299665	1	0.76123023044129	-0.273817667806906	0.00392784414458836	1.09692775877947e-12	1	-0.658683015534439	7.91914250439363e-05	-0.0418561386937322	-1	-0.00107863599048983	0.208465671993486	6.51979623111438e-12	-0.149287971375723	0.563128842585566	0.000562361060130068	0.828790865386221	0.0203000755807183	-0.590244919295304
"wgEncodeAwgSegmentationChromhmmK562"	1.54308482674119e-16	-0.339340820190056	0.893178589633374	0.967649162256634	0.000655603468756428	-0.856277058390832	-2.25634461638041e-05	-0.000975523777856642	1.36688187812889e-16	2.51006814684328e-05	0.737856179368728	1	5.88751691580226e-10	-9.71022838739559e-116	0.0923338904978071	-1.12037141895298e-12	0.00398879276208183	1.3893478828848e-17	-0.0182806818723967	4.87603266848845e-13	2.81433156453769e-45
"wgEncodeHaibMethylRrbsHsmmtOpenchromgrowprotSitesRep1"	-2.04203002297717e-11	0.334417388608646	0.886333129303022	0.60105680619878	-0.25118463685268	0.0029026402517319	3.49857599303948e-10	0.387443676262257	-0.24015043499479	0.000145898997333358	-0.0383078469621609	-1	-0.000542069703226841	0.669398312682695	3.41061179719412e-14	-0.324405394411012	0.369055769211319	0.00135738312922643	0.572226930617833	0.0282919193591874	-0.965925129424924
"wgEncodeUwHistonePanc1H3k04me3StdPkRep1"	-2.12681698307769e-30	0.995010915636118	-1	0.516837688206973	-0.461032791561512	0.000781077533565693	-0.796766467783826	-0.00195421807963484	-4.76694897687412e-09	-0.576229532036929	0.398147083308108	-1	0.000170526470073725	-4.64729668931792e-19	2.00631805337931e-22	0.00363401669319	0.54844286478123	1.14462402362286e-15	0.623820473037215	1.81735932175885e-11	6.5902274149381e-76
"wgEncodeUwDnaseHahPkRep2"	-2.8428307132725e-16	-0.542931731671365	1	-0.690283265113018	0.271820361832898	0.738629251410606	-0.386802329551073	-0.0445967132921039	-0.0018790428477143	-1	0.118672720488447	0.951034839169242	3.05984710187792e-10	-3.82516645519657e-10	4.93715884504461e-05	0.0281585788226122	0.87556632984504	0.000107022645015847	0.800182710263133	0.0660185837240107	2.28006719993635e-30
"wgEncodeSydhTfbsHelas3Elk112771IggrabPk"	-1.24568228490871e-18	0.963159658500107	-0.945243672282146	0.910061326837385	0.0776242962985225	8.145124737586e-10	-0.150224727038367	-0.0279237706512865	-3.26665334101736e-30	-0.754946141313399	1.01241952302157e-07	0.666046213056753	9.47312999284126e-28	-5.36453443668288e-63	4.08993791660279e-19	4.90156298524624e-12	0.734712550610138	4.22621857066994e-18	0.0952598499843195	6.59687449554716e-14	1.91340786041574e-104
"wgEncodeUwHistoneHbmecH3k4me3StdPkRep2"	-4.6034363659454e-40	-0.951776692116538	-1	0.930457471632716	0.485481258600621	1.591934751886e-06	-0.69749524387083	-0.000292794130644955	-2.52763150493517e-12	0.214270018487787	0.54897641322034	0.964087034477135	2.02559272517946e-18	-1.34296172291038e-42	9.9507234157762e-66	0.163780583053123	-0.972059340168793	3.42325174030043e-35	0.017296791273677	3.5664303853621e-13	1.95382185571199e-98
"wgEncodeUwRepliSeqK562PkRep1"	-0.0585166742045575	0.892527176509769	1	-0.934818249890877	-0.374805142320286	0.314895044229024	-0.742657574959704	1	-0.978254328636029	0.901745051650335	-0.469152010851338	0.857224707231378	0.098495784824228	-0.79376694708786	0.414122960398975	0.914095052360994	0.862606914347667	-0.746901501795364	-0.233594866436371	0.988825727338219	0.0530075205145043
