"AML_SNP"	"BLCA_SNP"	"BRCA_SNP"	"CARC_SNP"	"CLL_SNP"	"CRC_SNP"	"DLBCL_SNP"	"ESO_SNP"	"GBM_SNP"	"HNSC_SNP"	"KIRC_SNP"	"LUAD_SNP"	"LUSC_SNP"	"MED_SNP"	"MEL_SNP"	"MM_SNP"	"NB_SNP"	"OV_SNP"	"PRAD_SNP"	"RHAB_SNP"	"UCEC_SNP"
"wgEncodeAffyRnaChipFiltTransfragsK562NucleolusTotal"	6.32555987928827e-09	7.71074564646549e-111	3.42523323150936e-43	0.158472120456974	-0.82162241893778	8.09265827130947e-33	0.0130514634437273	-7.03810367236083e-25	-6.42866397145564e-20	5.88937278791185e-06	2.19410215112279e-71	-1.1504014772395e-124	-7.20087492812327e-19	0.214525664854228	-3.65691056910569e-305	9.09131645621269e-08	1	2.40158361233672e-12	0.00398879276208183	0.914068408778825	4.38683734718856e-80
"wgEncodeAffyRnaChipFiltTransfragsK562NucleoplasmTotal"	1.77710579700658e-09	3.77751636220565e-128	3.6208874184931e-33	0.0182806818723967	0.826739554652646	1.31091278829057e-17	0.00371728535295183	-4.80775644974877e-20	-9.70418294535752e-17	3.1412421726258e-07	7.66633701301331e-72	-7.25501047162156e-111	-2.38999970709933e-19	0.156044801688196	-3.65691056910569e-305	1.42733883486733e-08	0.450834671867973	8.71917582995916e-22	0.0012738359809784	-0.702102850908199	1.21126249598008e-41
"wgEncodeAffyRnaChipFiltTransfragsK562NucleusLongnonpolya"	0.0078323116813341	5.55798882278126e-88	3.26569370473964e-19	0.191952442211141	-0.267195201515654	1.86160087003995e-24	0.00991219950859357	-2.94847864288692e-24	-1.33390042149966e-13	2.53206308202562e-05	2.16226686531299e-56	-6.13730564883181e-85	-6.02311234016275e-16	0.0701547437977606	-7.88579837493409e-297	4.61537911084853e-09	0.882775446002131	1.96740164158582e-08	0.01525548939772	-1	4.76383402757365e-45
"wgEncodeAffyRnaChipFiltTransfragsK562NucleusLongpolya"	1.76060254589126e-09	3.55943452458124e-159	2.61996048086729e-46	0.0364427143379852	-0.408985969601449	1.12777149244267e-33	0.0490272638959401	-8.54764937098693e-26	-1.20054685542606e-23	4.61823328952403e-11	5.91236075510472e-89	-7.49991447350513e-170	-2.75161583972448e-26	0.2579024088716	-3.65691056910569e-305	4.51473607810472e-08	1	2.82279298909437e-18	0.0569401717561757	-1	9.67908212940029e-88
"wgEncodeAffyRnaChipFiltTransfragsK562PolysomeLongnonpolya"	3.02625883196936e-06	1.36222668393788e-137	5.77822370547979e-37	0.600867997675038	0.847638598897682	6.1533146485662e-45	0.382697320391384	-1.02698374810868e-37	-3.73509970761054e-27	1.84673173645917e-05	4.93160193833956e-75	-1.95700325163816e-163	-1.62071982542238e-25	0.111407422353141	-3.65691056910569e-305	9.76555173399036e-06	1	1.91270295402681e-05	0.0275337833737251	0.823488069016133	5.9217133629912e-94
"wgEncodeAffyRnaChipFiltTransfragsHepg2CytosolLongnonpolya"	8.26277802633811e-11	6.68055772550345e-114	1.09423142286788e-28	0.0169028444292043	0.212938192359998	1.39923041918304e-44	0.00338919845419808	-5.3890446007161e-25	-4.25128328281839e-13	1.37735231997674e-05	4.50760350838709e-66	-1.383733534152e-123	-3.05360054762586e-31	0.0554204898052121	-1.20940276700137e-303	1.43403687276161e-07	0.961294522462697	9.18574531908496e-20	0.024617749661489	0.992335132557115	5.80867451798462e-59
"wgEncodeAffyRnaChipFiltTransfragsHepg2CytosolLongpolya"	6.47406228912648e-09	5.05837943464405e-167	6.31411550925039e-48	0.00566002054578915	0.595211856488046	3.49077528158643e-54	0.19830585661272	-2.81312658934837e-35	-1.10982340306796e-19	3.63899144458015e-11	7.87123547268426e-95	-1.6617622320377e-224	-5.3193723133027e-42	0.150736003032622	-3.65691056910569e-305	5.67004448926822e-11	0.631925484018974	4.3267627309426e-27	0.00152476387585069	1	1.79261349694464e-108
"wgEncodeAffyRnaChipFiltTransfragsHepg2NucleolusTotal"	6.39290385136026e-09	3.74990061114513e-65	4.82912524014368e-13	0.111904381597394	0.00744124833935055	-0.682201375345814	1.02165064573482e-09	-0.170009814542654	-0.646113937615089	5.815097115268e-07	1.77458745759884e-40	-1.45468218229559e-51	-7.22211647322427e-22	0.0122007818849526	-3.70257127002612e-92	2.31958834198802e-09	0.444056952433852	2.17173789557393e-11	0.00593694809410381	1	0.524316619203967
"wgEncodeAffyRnaChipFiltTransfragsHepg2NucleusLongnonpolya"	1.37050999881505e-06	5.05261646132338e-57	5.86620784818116e-14	0.176296223305068	0.669425650080363	4.19492456071787e-21	0.0232574914918436	-3.00946680273487e-14	-3.49328167291454e-12	0.00471829377191717	4.68816260144478e-46	-1.19178543559244e-60	-2.59396376561866e-26	0.648045057200323	-7.81975729918814e-186	1.53997727512861e-07	0.944926472059115	0.000260294709767591	0.0885435790705946	1	7.21477186910456e-21
"wgEncodeAffyRnaChipFiltTransfragsHepg2NucleusLongpolya"	3.95699489282141e-09	8.46840781234154e-134	1.72479044978468e-31	0.286299807646806	0.460651064334585	1.68453658350665e-38	0.422575456172371	-1.11182690378054e-35	-5.74977885058866e-14	3.49696283802661e-06	1.12552541773849e-87	-2.04951562136395e-179	-1.00060564833076e-41	0.0409648306794863	-3.65691056910569e-305	9.36277050070585e-09	0.682214767585454	1.83020927968928e-16	0.0470933136830698	-0.91915949734678	2.19059720019006e-75
"wgEncodeAffyRnaChipFiltTransfragsKeratinocyteCytosolLongnonpolya"	0.00489174266474014	1.3319164380578e-66	1.56907524949223e-17	0.0202138474574921	0.000133430859658402	5.4083567763456e-22	1.96100085750686e-08	-6.4172248980133e-12	0.52846815051875	1.77960925502609e-06	2.26099592012527e-31	-8.7915214274754e-61	-7.66901562042382e-21	0.000189742020981327	-3.35593078208559e-151	3.3121691755053e-11	0.993064592407788	6.93741719939469e-15	0.42996668199902	0.563166378046155	4.56581213721803e-19
"wgEncodeAffyRnaChipFiltTransfragsKeratinocyteCytosolLongpolya"	1.47089469396589e-08	7.45212953168599e-138	5.09656949678588e-33	0.0839293032840309	0.1180641918664	2.23227640912833e-52	0.000107085459228186	-1.29846041740421e-31	-2.1134281870866e-12	0.00298079786252353	8.59054930175914e-85	-8.10668813454596e-144	-2.00427238963177e-38	0.0437603990448599	-3.65691056910569e-305	6.59176833436294e-12	0.619927300591873	1.74886628057247e-18	0.11903758045535	1	1.93150699048508e-86
"wgEncodeAffyRnaChipFiltTransfragsKeratinocyteNucleusLongnonpolya"	0.00473072743827524	2.16718531166249e-72	7.60638354729766e-16	0.316913297161636	0.0124570677515662	1.18080341525249e-36	1.12767492441337e-06	-4.59115533363258e-17	-0.00467114167786616	0.00740290537711926	8.83309064991719e-40	-8.755577709814e-67	-1.0485334409789e-21	0.0430713924962898	-1.9320039696999e-213	1.81351020398042e-11	0.40794049809977	4.91480960396171e-10	0.0812203540533123	0.707838961819101	1.5951093931911e-28
"wgEncodeAffyRnaChipFiltTransfragsKeratinocyteNucleusLongpolya"	3.63274797914046e-07	1.00076413178645e-124	2.898483104454e-25	0.0549557949428811	0.270399082637104	5.72201778596904e-60	9.31592075360423e-05	-9.82769534046022e-32	-8.28648199329434e-15	0.000910860956375081	1.53120827059844e-76	-3.18631994901225e-144	-1.36916468802238e-38	0.040660536384246	-3.65691056910569e-305	3.99113597058928e-09	0.451957785373906	5.23384999587795e-18	0.0214137599622364	1	4.00855699632057e-82
"wgEncodeAffyRnaChipFiltTransfragsProstateCellLongnonpolya"	4.03949251305931e-10	5.42286307706258e-62	3.52116298021477e-15	0.496686179213418	0.155479618478603	4.01121983125196e-56	4.81408451507455e-12	-2.31606911076263e-08	-3.02581927182235e-05	1.84832436168812e-12	2.69748407551819e-34	-7.29748605672901e-77	-4.69267911036701e-17	0.40841342335225	-6.82852706272113e-189	3.13105671156968e-11	-1	1.74299726391369e-10	0.205114447763574	0.708103038733719	2.84042829095491e-12
"wgEncodeAffyRnaChipFiltTransfragsProstateCellLongpolya"	7.19184703909087e-09	1.76414854752948e-114	3.00648851841526e-20	0.636943085780326	0.211617118980718	9.02845351212484e-82	7.62262382644546e-05	-3.81842936193056e-20	-7.08867380131012e-17	3.16867667432992e-07	9.93953636714883e-63	-2.08794454336822e-129	-1.45453132958954e-34	0.0534636419137913	-3.65691056910569e-305	4.48921434901448e-12	0.893178589633374	2.33740866543311e-16	0.044396764798359	-1	7.75684643739217e-33
"wgEncodeAffyRnaChipTransfragsGm12878CellTotal"	5.13372984491268e-06	2.92372868098716e-111	2.25298635773325e-48	0.0169028444292043	0.457207733107917	3.57840345816231e-25	0.0116989634700341	-9.68374080453918e-22	-8.14378335823426e-11	2.58226973433408e-06	1.82961937329495e-62	-3.58294308507994e-104	-7.45679160693405e-27	0.362508041182433	-3.65691056910569e-305	1.67124956223053e-05	0.631925484018974	3.27176204562217e-16	0.0289278801780682	0.425759158395205	1.39487995329332e-78
"wgEncodeAffyRnaChipTransfragsGm12878CytosolLongnonpolya"	4.72389270976693e-06	3.5228120300987e-82	3.42523323150936e-43	0.0180481580089097	0.180974355597874	6.61222282096198e-16	0.000186822981986311	-4.0713556000616e-23	-7.59531234442427e-09	1.3344958058771e-09	2.48244422122179e-48	-3.45085200101125e-61	-5.80778007464123e-18	0.346092564525366	-1.29050095020034e-271	1.4562293895533e-10	0.882775446002131	5.67512000587396e-11	0.108334364722123	0.496438384017193	1.38647088236651e-54
"wgEncodeAffyRnaChipTransfragsGm12878CytosolLongpolya"	3.62059339440281e-07	5.99774550393918e-171	1.22657067418884e-58	0.108814672849577	-0.792191102050333	5.46732556881581e-32	0.791764767467072	-1.38039832011064e-33	-1.08913633400215e-21	9.41953804382963e-10	3.66968445985262e-93	-2.2091864533043e-218	-1.4800037294204e-38	0.13253256019362	-3.65691056910569e-305	4.16794873399508e-09	0.509751324582942	3.14279623699359e-16	0.00708541546006982	1	6.04529543942932e-152
"wgEncodeAffyRnaChipTransfragsGm12878NucleolusTotal"	5.92878157130246e-07	5.30385084328277e-75	2.51742161186754e-28	0.0335172724657073	0.0129411257028965	-0.0744027343684728	6.87955837048414e-07	-1.65181862565348e-10	-0.180622185136713	3.34281898989658e-09	4.33715488835835e-39	-1.20611830305252e-50	-3.08874137855784e-16	0.542685132357321	-1.34591306322876e-149	3.90562696094271e-07	0.70876407104448	1.10528022786158e-11	0.0117479731925517	0.811306069381951	7.99331017623648e-10
"wgEncodeAffyRnaChipTransfragsGm12878NucleusLongnonpolya"	0.000324085358548187	1.83514200650671e-107	1.9557151551919e-39	0.0873684589584663	0.673303867272809	1.48027237367191e-17	0.110121601089402	-1.32255534041433e-21	-1.12096449752515e-08	0.000191636704746243	5.71803710017245e-56	-3.51183316111532e-110	-3.43858800980839e-22	0.179655392487427	-3.65691056910569e-305	4.37377946840774e-09	0.953459002451086	1.12023236325206e-08	0.156333360693866	0.918840221616186	2.63266616842235e-82
"wgEncodeAffyRnaChipTransfragsGm12878NucleusLongpolya"	3.80199217429158e-08	7.39961054831225e-138	7.23422374636636e-52	0.0651697857515149	-0.644846515398309	2.15146085237048e-25	0.41267402046211	-3.71212415957128e-32	-3.3047701194487e-17	4.07895378188796e-05	1.12978029249997e-86	-1.25701126983166e-175	-3.3503924797005e-39	0.0589678263740427	-3.65691056910569e-305	1.36811030990212e-07	0.640918718999447	1.74545684125084e-13	0.163756582668265	1	3.82509676920583e-124
"wgEncodeAffyRnaChipTransfragsK562CellTotal"	7.44260639226904e-08	5.90469832163732e-165	8.51071289584983e-49	0.0404702364696218	0.896513002628609	4.00724212791644e-20	0.0149843804176897	-7.57575749057205e-36	-1.59120615462425e-21	1.04842762279058e-05	1.21684284340406e-88	-8.60678023165649e-176	-5.94863235287273e-31	0.074882766376055	-3.65691056910569e-305	8.94153006206065e-07	1	2.58605655546484e-05	0.00398879276208183	0.827162661186134	7.47970897209355e-114
