	Row.names	c1	c2	adj.P.Val	V2
31	wgEncodeBroadHistoneOsteoH3k04me3Pk	0.00952243241231427	0.909176080424973	0.0113558507562822	Osteoblasts H3K4me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
32	wgEncodeBroadHistoneMonocd14ro1746H3k09me3Pk	-0.00920424314216723	0.691551293370463	0.0173768054200983	Monocytes CD14+ H3K9me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
33	wgEncodeBroadHistoneDnd41H3k27acPk	9.99297570128222e-06	-0.686325843696035	0.0237424390366918	Dnd41 H3K27ac Histone Mods by ChIP-seq Peaks from ENCODE/Broad
34	wgEncodeBroadHistoneDnd41H2azPk	4.66831242842082e-06	-0.152382371458298	0.0327437919738168	Dnd41 H2A.Z Histone Mods by ChIP-seq Peaks from ENCODE/Broad
35	wgEncodeBroadHistoneMonocd14ro1746H3k79me2Pk	0.000305642629544237	0.609809159988901	0.0432004940116476	Monocytes CD14+ H3K79me2 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
36	wgEncodeBroadHistoneDnd41H3k79me2Pk	0.00019142829926298	0.249231880869685	0.0492970910816938	Dnd41 H3K79me2 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
37	wgEncodeBroadHistoneMonocd14ro1746H3k27acPk	0.000505393605905968	0.53833475864217	0.0500804227196176	Monocytes CD14+ H3K27ac Histone Mods by ChIP-seq Peaks from ENCODE/Broad
38	wgEncodeBroadHistoneMonocd14ro1746H3k04me3Pk	0.00594663048482455	0.559702461407102	0.0510795140435141	Monocytes CD14+ H3K4me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
39	wgEncodeBroadHistoneMonocd14ro1746H3k04me1Pk	0.00059363995285637	0.891188367867346	0.0564989989066684	Monocytes CD14+ H3K4me1 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
40	wgEncodeBroadHistoneGm12878H3k36me3StdPk	0.000122323632299031	0.221910313289164	0.0573232458229898	GM12878 H3K36me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
41	wgEncodeBroadHistoneCd20CtcfPk	0.00463343452211372	-0.618442942927987	0.0648972196934769	CD20+ CTCF Histone Mods by ChIP-seq Peaks from ENCODE/Broad
42	wgEncodeUwHistoneGm12865H3k04me3StdPkRep1	0.00314131033449232	-0.95211504909248	0.066457604803375	GM12865 H3K4me3 Histone Mod ChIP-seq Peaks 1 from ENCODE/UW
43	wgEncodeBroadHistoneGm12878H3k4me3StdPk	1.93951189647371e-10	-0.0504947679390434	9.03337096513982e-06	NA
44	wgEncodeBroadHistoneGm12878H3k4me1StdPk	1.45848153800429e-13	-0.136419235541692	0.000102811934780082	NA
	Row.names	c1	c3	adj.P.Val	V2
1	wgEncodeUwHistoneGm12875H3k04me3StdHotspotsRep1	0.000521236779338233	0.814224753841708	1.46421193109176e-06	GM12875 H3K4me3 Histone Mod ChIP-seq Hotspots 1 from ENCODE/UW
2	wgEncodeBroadHistoneGm12878H3k9acStdPk	3.8488994031186e-12	0.279061865039025	2.2091605533971e-05	GM12878 H3K9ac Histone Mods by ChIP-seq Peaks from ENCODE/Broad
3	wgEncodeUwHistoneGm12865H3k04me3StdHotspotsRep2	5.45154284201947e-07	0.660779437491749	3.83571956390613e-05	GM12865 H3K4me3 Histone Mod ChIP-seq Hotspots 2 from ENCODE/UW
4	wgEncodeBroadHistoneGm12878H3k4me2StdPk	8.78240579522567e-09	0.563099493056174	5.19678499515573e-05	GM12878 H3K4me2 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
5	wgEncodeBroadHistoneGm12878H3k79me2StdPk	1.86704543211768e-08	-0.499487333761407	7.28010352502922e-05	GM12878 H3K79me2 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
6	wgEncodeUwHistoneGm12865H3k04me3StdHotspotsRep1	2.88058664473039e-06	0.792646475214214	7.28010352502922e-05	GM12865 H3K4me3 Histone Mod ChIP-seq Hotspots 1 from ENCODE/UW
7	wgEncodeUwHistoneGm12864H3k04me3StdHotspotsRep2	0.00320243562694477	0.905350275612125	7.28010352502922e-05	GM12864 H3K4me3 Histone Mod ChIP-seq Hotspots 2 from ENCODE/UW
8	wgEncodeBroadHistoneDnd41H3k09acPk	0.000152709747426762	-0.911827577529047	7.28010352502922e-05	Dnd41 H3K9ac Histone Mods by ChIP-seq Peaks from ENCODE/Broad
9	wgEncodeBroadHistoneDnd41H3k04me1Pk	9.1051935992576e-08	-0.787839888575258	0.000117089812732022	Dnd41 H3K4me1 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
10	wgEncodeUwHistoneGm06990H3k4me3StdHotspotsRep1	0.000163583491334103	-0.992222746690322	0.000531272098909684	GM06990 H3K4me3 Histone Mod ChIP-seq Hotspots 1 from ENCODE/UW
11	wgEncodeUwHistoneGm12878H3k4me3StdHotspotsRep2	2.72025861412379e-05	0.615134606161483	0.000531272098909684	GM12878 H3K4me3 Histone Mod ChIP-seq Hotspots 2 from ENCODE/UW
12	wgEncodeBroadHistoneCd20H3k04me2Pk	6.10033249272961e-09	0.720893199650311	0.000875002831424646	CD20+ H3K4me2 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
13	wgEncodeBroadHistoneGm12878H3k04me1StdPkV2	6.26292063158036e-15	0.268645953838894	0.00104116437890122	GM12878 H3K4me1 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
14	wgEncodeBroadHistoneDnd41H3k04me3Pk	0.000138472286654282	-0.92406407959496	0.00104240991260364	Dnd41 H3K4me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
15	wgEncodeBroadHistoneGm12878H3k04me3StdPkV2	4.70843681346005e-08	0.136116025701834	0.00104240991260364	GM12878 H3K4me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
16	wgEncodeBroadHistoneNhekH3k4me2StdPk	0.00197675538466916	0.647043854009824	0.00145441904211959	NHEK H3K4me2 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
17	wgEncodeBroadHistoneDnd41H3k79me2Pk	0.00019142829926298	-0.0776254155181258	0.00218079010488816	Dnd41 H3K79me2 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
18	wgEncodeUwHistoneGm12864H3k04me3StdHotspotsRep1	2.67062153781355e-05	0.849415680464855	0.00219784876711346	GM12864 H3K4me3 Histone Mod ChIP-seq Hotspots 1 from ENCODE/UW
19	wgEncodeUwHistoneGm06990H3k4me3StdHotspotsRep2	3.23518545934816e-06	0.777037791490017	0.00268858922943602	GM06990 H3K4me3 Histone Mod ChIP-seq Hotspots 2 from ENCODE/UW
20	wgEncodeUwHistoneGm12878H3k4me3StdHotspotsRep1	2.54841273668803e-05	0.643701438250812	0.00317768357810176	GM12878 H3K4me3 Histone Mod ChIP-seq Hotspots 1 from ENCODE/UW
21	wgEncodeUwHistoneCd20ro01794H3k04me3StdHotspotsRep3	0.000149856315120121	0.768403440145069	0.00389487407382003	CD20+ (RO 01794) H3K4me3 Histone Mod ChIP-seq Hotspots 3 from ENCODE/UW
22	wgEncodeBroadHistoneGm12878H3k27acStdPk	2.56077828493188e-11	0.126354838535082	0.00419604601783372	GM12878 H3K27ac Histone Mods by ChIP-seq Peaks from ENCODE/Broad
23	wgEncodeBroadHistoneDnd41H3k04me2Pk	0.000110954035803325	0.411717051029706	0.00419604601783372	Dnd41 H3K4me2 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
24	wgEncodeBroadHistoneDnd41H3k36me3Pk	0.00226119507125289	-0.13765224874722	0.00738756583606141	Dnd41 H3K36me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
25	wgEncodeBroadHistoneCd20ro01794H4k20me1Pk	0.001017883967596	-0.00822939288788921	0.00830079637210981	CD20+ RO01794 H4K20me1 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
26	wgEncodeUwHistoneCd20ro01778H3k04me3StdHotspotsRep2	4.84602963826759e-05	0.748153600606703	0.00868839034552821	CD20+ (RO 01778) H3K4me3 Histone Mod ChIP-seq Hotspots 2 from ENCODE/UW
27	wgEncodeBroadHistoneMonocd14ro1746H3k79me2Pk	0.000305642629544237	-0.214953919774502	0.0111411338913919	Monocytes CD14+ H3K79me2 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
28	wgEncodeUwHistoneCd20ro01778H3k04me3StdHotspotsRep1	0.000214283329062217	0.757342715534456	0.0135583550637002	CD20+ (RO 01778) H3K4me3 Histone Mod ChIP-seq Hotspots 1 from ENCODE/UW
29	wgEncodeBroadHistoneGm12878H3k36me3StdPk	0.000122323632299031	-0.46583847774389	0.0143798823371676	GM12878 H3K36me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
30	wgEncodeBroadHistoneMonocd14ro1746H4k20me1Pk	0.000190348867494304	-0.10308880610084	0.0162246444068008	Monocytes CD14+ H4K20me1 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
31	wgEncodeBroadHistoneCd20ro01794H3k27acPk	1.05659488996196e-08	-0.407653544860129	0.0164821083676251	CD20+ RO01794 H3K27ac Histone Mods by ChIP-seq Peaks from ENCODE/Broad
32	wgEncodeBroadHistoneOsteoH3k04me3Pk	0.00952243241231427	0.931289757165077	0.0164821083676251	Osteoblasts H3K4me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
33	wgEncodeSydhHistonePbmcH3k4me1UcdPk	0.0016034207193953	0.875743690347072	0.0164821083676251	PBMC H3K4me1 Histone Modifications by ChIP-Seq Peaks from ENCODE/SYDH
