"MEL_SNP"	"MED_SNP"	"NB_SNP"	"AML_SNP"	"LUSC_SNP"	"CLL_SNP"	"GBM_SNP"	"LUAD_SNP"	"CRC_SNP"	"ESO_SNP"	"OV_SNP"	"RHAB_SNP"	"KIRC_SNP"	"UCEC_SNP"	"DLBCL_SNP"	"BRCA_SNP"	"PRAD_SNP"	"MM_SNP"	"CARC_SNP"	"HNSC_SNP"	"BLCA_SNP"
"wgEncodeCshlShortRnaSeqProstateCellShortTransfrags"	-9.08416005810379e-34	-0.766606784181261	-1	0.94293410929527	-1.21242074389506e-07	0.182103900592637	-0.0105955445795666	-7.05891570037131e-31	3.08017441225428e-15	-3.56887920465887e-07	0.670271116296628	-0.919539293981727	4.89004038613572e-13	3.14971724138538e-23	0.464975108304915	0.0157113004065004	0.988310421243858	0.00455503994121214	0.445719316143321	0.243504136959666	7.01796962675906e-15
"wgEncodeUwDgfRpmi7951Hotspots"	-4.41257083291635e-76	-1	-1	0.00731948847436458	0.554217818117932	0.00383400600367884	-0.384433193366331	-7.14538479391108e-11	-1.35827971768922e-16	0.676743731562489	0.000569582469455653	0.741500351561126	7.43479186963741e-37	-1.30599121310959e-39	4.44115030460597e-41	1.37916630447481e-21	0.811940231526848	6.79401436340767e-30	0.00520777185895945	2.05642562664719e-16	1.07408578525145e-183
"wgEncodeAwgTfbsSydhHek293Pol2UniPk"	-9.72901495417576e-12	0.907973381454927	-1	0.412146484177853	0.000934575609021193	6.36666132351907e-08	-0.397431898703137	-0.0458068999112989	-2.2636496402241e-22	0.381973922503443	0.0001319582102157	0.593037568841497	2.28238725170282e-10	-1.02132993353855e-51	2.63738286581642e-14	4.12518091640429e-15	0.831357363331462	2.70574793926239e-14	0.0260628535069343	2.53947658949046e-12	1.04507002902697e-72
"wgEncodeAwgDnaseUwHpaecUniPk"	-1.91717120022601e-19	-0.866107284319096	1	0.799276647285934	0.268111939341314	-1	-0.568593972564779	-0.104442495078683	-0.000750803206834492	1	0.719495809577381	-0.931783949045836	1.65331514529451e-20	-4.9416761631335e-17	4.83630226283097e-13	1.72469314721128e-05	0.266907265266908	5.75353147151892e-06	0.0359527062086141	0.134668188521844	1.82603178312253e-61
"wgEncodeUwDnaseHmvecdadPkRep2"	-7.19848995835652e-07	1	1	0.834507637902871	0.751723696551608	0.802899932720273	-0.269553198145934	-0.0310419875807895	-3.10724446794547e-07	-0.916067354356932	0.616653082089289	0.931783949045836	8.31125219731603e-25	-1.14874552939678e-08	0.115142168122424	1.95732915914947e-06	0.591371507170134	7.31586678395991e-07	0.716672887871665	0.11275916122355	7.35177009500523e-31
"wgEncodeUwDnaseHct116PkRep2"	-7.97764242892739e-07	-0.954891352285963	-1	-0.622791329791611	0.18142087083494	0.494080017097709	0.96667171381808	-0.458663868440618	-4.31195963500906e-10	0.760524915894365	0.0551036192796426	0.892546812597763	3.42556553552493e-08	-5.62478952914968e-18	0.0145324659149144	4.604745158975e-10	0.453345189882146	1.71397536837139e-07	0.169389888265726	0.352569484755682	1.47599759417778e-52
"wgEncodeUwHistoneSaecH3k36me3StdHotspotsRep1"	-4.41925081568301e-255	0.000458317018978413	0.574844075457463	4.05523596884801e-14	-1.64462920508602e-43	0.017892456166523	-4.19071375139293e-12	-2.67819435432155e-219	5.8709894897014e-28	-1.32821883244989e-32	3.39574172737995e-29	0.620519986948078	2.0169990842591e-74	5.33792392141492e-147	0.39146645177829	5.22390635566532e-38	0.00148471929695027	0.011084378473577	0.000433047973907329	5.40650805754096e-06	2.10482382001533e-85
"wgEncodeHaibTfbsGm12878Tcf12Pcr1xPkRep1"	-2.28428186953832e-16	0.485144651172784	-1	0.951148876799453	0.384310349002641	7.05270051435022e-10	-0.933616924194936	-0.374883265317388	-2.03991843458641e-34	0.469823755167298	0.000200591296093342	0.676850161695982	0.000117877515067206	-3.00424072739422e-60	1.91928882042276e-61	4.91548264996094e-16	0.442803275693618	1.78650702045036e-30	0.0026986199853969	7.35989031727848e-18	5.61626668989439e-82
"wgEncodeCshlShortRnaSeqGm12878NucleusShortTransfrags"	-4.82688310009698e-09	0.70953988223236	0.397257585238258	0.217454479886115	-0.720237673215148	0.00064775654058	-0.455641363265771	-0.000928305708299293	-0.27234075480548	-0.676126311124542	0.308501019042465	-1	4.60844012462404e-07	-0.0136577258175084	7.63594038149296e-12	0.000541197734889967	0.455830705820518	0.00108623863729834	0.864874493807828	0.497736123726587	2.11168009408726e-08
"wgEncodeCshlLongRnaSeqHelas3CytosolPamJunctions"	-4.74439214038226e-53	9.09200666796945e-05	0.6316883174966	3.56206470763036e-18	-1.77111596008449e-26	0.000446170207341955	0.535318841631033	-3.8137493569038e-182	-3.06679504507551e-20	-0.000155810712978032	1.1443665118132e-15	0.863499053137473	4.83154016908369e-57	2.01597952572289e-50	0.761507151440276	5.39027607466546e-36	0.0045894032089442	2.4827510726709e-15	0.000105138162919718	3.00281978393376e-08	2.33591158302056e-128
